date,code,close,high,volume,amount
2026-01-12,sh.600711,16.8,17.12,148270277,2484519314.9300
2026-01-13,sh.600711,16.88,17.25,152469715,2579804745.4200
2026-01-14,sh.600711,17.15,17.55,180211550,3056219834.7800
2026-01-15,sh.600711,17.39,18.13,193629614,3407704781.8200
2026-01-16,sh.600711,16.79,17.63,176147543,3017270660.3000
2026-01-19,sh.600711,16.4,16.62,168177307,2736523634.3100
2026-01-20,sh.600711,16.6,16.78,157059616,2555848517.8700
2026-01-21,sh.600711,16.96,17.16,139826081,2345649297.4100
2026-01-22,sh.600711,16.96,17.07,109280144,1836574880.9600
2026-01-23,sh.600711,17.3,17.55,128257122,2203696911.9000
2026-01-26,sh.600711,18.18,18.2,208844666,3744449675.6700
2026-01-27,sh.600711,17.47,17.85,157181970,2750117217.3400
2026-01-28,sh.600711,18.26,18.55,200271911,3594895284.2900
2026-01-29,sh.600711,17.87,18.73,214482400,3859560974.8600
2026-01-30,sh.600711,16.16,17.27,208109270,3431366288.2600
2026-02-02,sh.600711,14.54,15.63,206483381,3107328286.9900
2026-02-03,sh.600711,15.57,15.68,174405655,2655130547.0200
2026-02-04,sh.600711,15.99,16.2,114083066,1823996622.5700
2026-02-05,sh.600711,15.54,16.0,108140136,1690907145.1400
2026-02-06,sh.600711,15.93,16.28,116363541,1821559037.5700
2026-02-09,sh.600711,15.63,16.32,107501447,1695777229.1700
2026-02-10,sh.600711,15.39,15.7,61420395,946346774.9000
2026-02-11,sh.600711,15.85,16.2,96816946,1536031933.6700
2026-02-12,sh.600711,16.98,17.44,262771270,4498596454.9500
2026-02-13,sh.600711,16.21,16.82,139276848,2283208420.5500
2026-02-24,sh.600711,16.02,16.77,149279713,2424235453.1000
2026-02-25,sh.600711,16.86,17.16,160442355,2683886988.4900
2026-02-26,sh.600711,16.59,17.05,99661168,1657647051.2900
2026-02-27,sh.600711,16.87,16.9,119222275,1993949320.9700
2026-03-02,sh.600711,16.81,17.1,131797850,2191585832.3000
2026-03-03,sh.600711,15.34,16.63,154919539,2469034089.4900
2026-03-04,sh.600711,15.19,15.58,93885568,1430789164.9100
2026-03-05,sh.600711,15.18,15.58,79914370,1224499646.1000
2026-03-06,sh.600711,14.82,15.12,85762868,1274680009.3500
2026-03-09,sh.600711,14.28,14.35,136344699,1900193860.2500
2026-03-10,sh.600711,14.53,14.68,71671722,1039432826.9000
2026-03-11,sh.600711,14.22,14.64,89883339,1289100821.4600
2026-03-12,sh.600711,13.93,14.28,110781696,1547599366.3500
2026-03-13,sh.600711,13.78,14.32,89364774,1249195613.4000
2026-03-16,sh.600711,13.17,13.54,164009724,2139271712.8900
2026-03-17,sh.600711,12.87,13.3,88833276,1160132610.9900
2026-03-18,sh.600711,12.7,12.92,107228981,1353996784.2000
2026-03-19,sh.600711,11.9,12.33,158567689,1899161367.9600
2026-03-20,sh.600711,11.51,12.03,157451807,1852103358.8500
2026-03-23,sh.600711,10.7,11.29,190846034,2087411717.9500
2026-03-24,sh.600711,11.47,11.66,204677447,2296460449.5800
2026-03-25,sh.600711,12.21,12.33,187183719,2279126370.4200
2026-03-26,sh.600711,12.06,12.36,113942841,1384496213.5100
2026-03-27,sh.600711,12.43,12.5,131322035,1617468140.3900
2026-03-30,sh.600711,12.55,12.61,118192064,1459589489.0800
2026-03-31,sh.600711,12.67,13.13,148158041,1892547982.0400
2026-04-01,sh.600711,13.54,13.89,207638151,2814596564.7600
2026-04-02,sh.600711,13.54,13.85,170206937,2304048468.3300
2026-04-03,sh.600711,13.2,13.64,114258373,1506912770.3800
2026-04-07,sh.600711,13.52,13.71,109154791,1472262386.3600
2026-04-08,sh.600711,14.47,14.55,174758491,2503100498.1100
2026-04-09,sh.600711,14.34,14.49,102349057,1465065983.9600
2026-04-10,sh.600711,14.19,14.6,109454554,1574506070.1800
